,ID,Startzeit,Fertigstellungszeit,Schulform,Alter,"Schulstufe (1. Jg HTL oder Fachschule = 9. Schulstufe, 4. Jg = 12. Schulstufe); für Kolleg bzw. Tageskolleg bitte >13 wählen",Geschlecht,Ich finde Onlineunterricht (alle Schüler/innen/Studierende sind zuhause) im Allgemeinen genauso gut wie normalen Unterricht (Präsenzunterricht). 5 Sterne = trifft voll zu,"Gib an, wie gut deine Bedingungen zum Onlinelernen zuhause sind (Computer, Internet, angenehmer Arbeitsplatz). 5 Sterne = sehr gut",Ich nehme am Onlineunterricht normalerweise über einen Laptop von zuhause aus teil. (5 trifft voll zu),"Gib an, ob der Onlineunterricht für dich im Allgemeinen anstrengender ist als Präsenzunterricht (5 Sterne = trifft voll zu)","Gib an, ob die Arbeitsbelastung für die Schule durch den Onlineunterricht im Allgemeinen  zunimmt (5 Sterne = sehr stark)",dass er nicht zeitig in der Früh ist,dass ich zuhause Ruhe habe,dass oft genug eine Pause eingelegt wird,dass der Unterricht gut strukturiert ist,"dass Onlineübungen eingebunden sind, die nicht bewertet sind, z.B. ein paar Fragen, wo man erfährt, ob sie stimmen, oder nicht, die aber nicht bewertet werden",dass Spiele in den Unterricht eingebunden werden,"dass es Arbeitsaufträge gibt, bei denen ich mit einem oder mehreren meiner Mitschüler/innen zusammenarbeite","dass klar ist, welche Leistungen zu erbringen sind","Wenn ich etwas Privates vom Lehrer/der Lehrerin mitbekomme (z.B. Kinder, Haustiere im Hintergrund etc.)",wenn ich im Onlineunterricht namentlich angesprochen werden,"wenn der Lehrer/die Lehrerin zeigt bzw. zugibt, dass sie sich irgendwo nicht auskennt",wenn ich im Unterricht gelobt werde,wenn andere im Onlineunterricht gelobt werden,"Ergänze hier Faktoren, die deine Freude am Onlineunterricht erhöhen, die bei Frage 12 nicht genannt sind.","Kreuze an, welche Vorteile der Unterricht im Klassenzimmer gegenüber dem Onlineunterricht hat.","Wenn du bei Frage 14 ""Sonstige"" angekreuzt hast, gib an, was du dabei gemeint hast.","Hast du den Eindruck, dass  ältere Lehrkräfte (>35 Jahre) im Allgemeinen schlechter mit der Gestaltung des  Onlineunterrichts zurecht kommen tun als jüngere Lehrkräfte? (5 Sterne= trifft voll zu)","Ich fände es gut, wenn auch in Zukunft ein Teil des Unterrichts online stattfindet (5 Sterne = trifft voll zu)",Kommentare,Schule
10,11,2021-03-10 14:29:18,2021-03-10 14:33:51,HTL,16-17,11,männlich,3.0,3.0,5.0,3.0,3.0,wichtig,sehr wichtig,sehr wichtig,egal,wichtig,egal,egal,wichtig,gar nicht wichtig,gar nicht wichtig,sehr wichtig,egal,egal,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Nachfragen einfacher;,,5.0,3.0,,HTL Spengergasse
11,12,2021-03-10 19:51:18,2021-03-10 19:58:06,HTL,16-17,11,männlich,5.0,5.0,4.0,1.0,5.0,wichtig,egal,egal,sehr wichtig,egal,wichtig,gar nicht wichtig,sehr wichtig,wichtig,gar nicht wichtig,sehr wichtig,sehr wichtig,wichtig,,Nachfragen einfacher;,,5.0,5.0,,HTL Spengergasse
12,13,2021-03-11 00:41:54,2021-03-11 00:47:35,HTL,16-17,11,männlich,4.0,5.0,4.0,3.0,5.0,sehr wichtig,egal,wichtig,wichtig,wichtig,sehr wichtig,wichtig,sehr wichtig,egal,egal,egal,wichtig,wichtig,,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,5.0,4.0,,HTL Spengergasse
13,14,2021-03-11 10:57:20,2021-03-11 11:01:38,HTL,18-20,11,männlich,5.0,5.0,5.0,1.0,3.0,egal,egal,wichtig,wichtig,egal,egal,nicht wichtig,wichtig,egal,egal,egal,nicht wichtig,nicht wichtig,,ruhigere Arbeitsumgebung als zuhause;,,2.0,5.0,,HTL Spengergasse
14,15,2021-03-11 11:04:00,2021-03-11 11:05:38,HTL,18-20,11,männlich,5.0,5.0,5.0,2.0,3.0,wichtig,wichtig,wichtig,wichtig,egal,nicht wichtig,egal,wichtig,egal,nicht wichtig,egal,nicht wichtig,nicht wichtig,,Zusammenarbeit mit Mitschüler/innen einfacher;,,2.0,5.0,,HTL Spengergasse
15,16,2021-03-11 11:24:02,2021-03-11 11:37:43,HTL,18-20,11,männlich,3.0,4.0,5.0,5.0,4.0,sehr wichtig,wichtig,wichtig,wichtig,egal,gar nicht wichtig,gar nicht wichtig,sehr wichtig,gar nicht wichtig,gar nicht wichtig,nicht wichtig,egal,nicht wichtig,"Wenn der Onlineunterricht, nicht unnötig in die länge gezogen wird und dann Aufgaben gestellt werden, die in der Freizeit zu lösen sind.",direktes Gespräch mit Lehrkraft möglich;Nachfragen einfacher;Zusammenarbeit mit Mitschüler/innen einfacher;Sonstige;,"Im Klassenzimmer kann man mit den Lehrern und Mitschülern auch gelegentlich etwas herumscherzen, der Onlineunterricht ist vergleichsweise oftmals sehr trocken.",2.0,3.0,,HTL Spengergasse
16,17,2021-03-11 12:45:50,2021-03-11 12:49:27,HTL,18-20,11,männlich,3.0,5.0,5.0,2.0,3.0,egal,wichtig,sehr wichtig,wichtig,egal,gar nicht wichtig,egal,sehr wichtig,wichtig,gar nicht wichtig,egal,sehr wichtig,sehr wichtig,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,3.0,5.0,,HTL Spengergasse
17,18,2021-03-11 18:44:07,2021-03-11 18:49:22,HTL,16-17,11,männlich,2.0,5.0,5.0,4.0,4.0,egal,wichtig,wichtig,sehr wichtig,egal,egal,wichtig,sehr wichtig,gar nicht wichtig,wichtig,wichtig,sehr wichtig,sehr wichtig,Wenn nicht zu viele Arbeitsaufträge gegeben werden. ,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,4.0,1.0,,HTL Spengergasse
18,19,2021-03-11 22:03:02,2021-03-11 22:05:32,HTL,16-17,11,männlich,5.0,5.0,5.0,2.0,3.0,gar nicht wichtig,egal,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,egal,egal,egal,egal,Man kann im Pyjama am Online-Unterricht teilnehmen oder sogar währenddessen Essen.,,,5.0,5.0,,HTL Spengergasse
19,1,2021-03-10 12:20:24,2021-03-10 12:22:42,HTL,16-17,11,männlich,2.0,3.0,2.0,4.0,5.0,wichtig,wichtig,wichtig,wichtig,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,nicht wichtig,nicht wichtig,nicht wichtig,nicht wichtig,nicht wichtig,,Zusammenarbeit mit Mitschüler/innen einfacher;direktes Gespräch mit Lehrkraft möglich;,,5.0,5.0,,HTL Spengergasse
20,2,2021-03-10 12:20:24,2021-03-10 12:24:55,HTL,18-20,11,männlich,5.0,5.0,5.0,2.0,3.0,sehr wichtig,egal,egal,wichtig,egal,egal,sehr wichtig,sehr wichtig,egal,egal,egal,wichtig,wichtig,"Allgemein wenn wir Onlineunterricht hatten ist meine Aktivität und Motivation gestiegen da ich ausschlafen kann, denn mir ist Schlaf sehr wichtig und wenn ich zu wenig von dem habe, ist es für schwer für mich sich zu konzentrieren.",Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;,,3.0,5.0,,HTL Spengergasse
21,3,2021-03-10 12:20:27,2021-03-10 12:27:59,HTL,16-17,11,männlich,5.0,5.0,5.0,2.0,3.0,wichtig,egal,gar nicht wichtig,wichtig,wichtig,egal,nicht wichtig,nicht wichtig,egal,egal,egal,egal,egal,,Nachfragen einfacher;,,1.0,5.0,,HTL Spengergasse
22,4,2021-03-10 12:35:27,2021-03-10 12:43:55,HTL,16-17,11,männlich,2.0,5.0,5.0,2.0,4.0,egal,wichtig,wichtig,wichtig,wichtig,egal,wichtig,sehr wichtig,egal,wichtig,wichtig,wichtig,wichtig,Ein Quiz bei Kahoot über den gelernten Stoff ,direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Nachfragen einfacher;Sonstige;,Man ist aufmerksamer ,2.0,2.0,,HTL Spengergasse
23,5,2021-03-10 12:45:58,2021-03-10 12:49:13,HTL,16-17,11,männlich,4.0,5.0,5.0,4.0,2.0,wichtig,sehr wichtig,wichtig,wichtig,egal,egal,egal,sehr wichtig,egal,egal,sehr wichtig,egal,egal,Nicht zu viel Info in einer Online Einheit da es schwer ist immer mitzuhalten,Zusammenarbeit mit Mitschüler/innen einfacher;direktes Gespräch mit Lehrkraft möglich;,,4.0,5.0,,HTL Spengergasse
24,6,2021-03-10 12:56:19,2021-03-10 13:06:21,HTL,16-17,11,männlich,2.0,5.0,1.0,4.0,3.0,nicht wichtig,sehr wichtig,,wichtig,egal,wichtig,egal,egal,egal,egal,wichtig,egal,gar nicht wichtig,,direktes Gespräch mit Lehrkraft möglich;,,1.0,2.0,,HTL Spengergasse
25,7,2021-03-10 13:15:01,2021-03-10 13:18:40,HTL,16-17,11,männlich,5.0,5.0,3.0,1.0,4.0,wichtig,egal,sehr wichtig,wichtig,wichtig,nicht wichtig,wichtig,sehr wichtig,nicht wichtig,nicht wichtig,wichtig,sehr wichtig,sehr wichtig,lehrer präsentiert unterricht interessant,Nachfragen einfacher;direktes Gespräch mit Lehrkraft möglich;,,4.0,5.0,,HTL Spengergasse
26,8,2021-03-10 13:14:05,2021-03-10 13:20:23,HTL,18-20,11,männlich,5.0,5.0,5.0,1.0,5.0,egal,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,egal,sehr wichtig,gar nicht wichtig,egal,egal,wichtig,egal,Ich kann meine Zeit besser einteilen im Onlineunterricht.,,,3.0,5.0,Hoffentlich haben wir bald wieder Onlineunterricht damit ich durch diesen Schichtbetrieb nicht so viel Unterricht verpasse,HTL Spengergasse
27,9,2021-03-10 13:18:12,2021-03-10 13:22:02,HTL,16-17,11,männlich,1.0,5.0,5.0,4.0,4.0,egal,wichtig,egal,wichtig,wichtig,wichtig,wichtig,wichtig,wichtig,sehr wichtig,wichtig,egal,egal,"Ich fände es gut wenn jeder Schüler bei Namen eine Frage gestellt bekommt, weil man dadurch aufmerksam sein muss und seine Aufmerksamkeit nicht verliert.",direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,.,3.0,1.0,"Mein Problem ist, dass ich im Onlineunterricht schnell die Aufmerksamkeit verliere und deshalb beim Stoff dann nicht so gut dabei bin. Deshalb mag ich Präsentzunterricht besser.",HTL Spengergasse
28,10,2021-03-10 13:18:17,2021-03-10 13:22:43,HTL,16-17,11,männlich,3.0,5.0,1.0,2.0,3.0,sehr wichtig,egal,wichtig,sehr wichtig,egal,nicht wichtig,wichtig,sehr wichtig,gar nicht wichtig,gar nicht wichtig,egal,wichtig,wichtig,,keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;,,3.0,5.0,,HTL Spengergasse
29,11,2021-03-10 13:24:38,2021-03-10 13:28:22,HTL,16-17,11,männlich,3.0,4.0,5.0,3.0,3.0,egal,wichtig,wichtig,wichtig,wichtig,egal,egal,sehr wichtig,egal,egal,wichtig,egal,egal,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;,,3.0,3.0,,HTL Spengergasse
30,12,2021-03-10 13:30:29,2021-03-10 13:38:46,HTL,16-17,11,männlich,2.0,4.0,5.0,4.0,4.0,egal,wichtig,wichtig,egal,egal,nicht wichtig,egal,wichtig,nicht wichtig,egal,wichtig,egal,egal,-,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,4.0,1.0,,HTL Spengergasse
31,13,2021-03-10 14:33:05,2021-03-10 14:33:52,HTL,18-20,11,männlich,5.0,5.0,5.0,3.0,4.0,wichtig,wichtig,egal,wichtig,wichtig,egal,nicht wichtig,wichtig,egal,egal,egal,egal,egal,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,3.0,4.0,,HTL Spengergasse
32,14,2021-03-10 14:49:10,2021-03-10 14:56:25,HTL,16-17,11,männlich,3.0,5.0,5.0,2.0,4.0,wichtig,wichtig,egal,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,sehr wichtig,wichtig,wichtig,Abwägslungsreicher Unterricht,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;Sonstige;,keine möglichen ablenkungen die Zuhause entstehen könnten,4.0,4.0,"Online Unterricht ist derzeit in ordnung.
bitte kein spängerhub oder kein moodel so lange es den aufgaben kalender noch nicht giebt
sehr müsahm immer nachzuschauen ob es neue aufgaben giebt",HTL Spengergasse
33,15,2021-03-10 19:46:14,2021-03-10 19:59:50,HTL,16-17,11,männlich,5.0,3.0,4.0,1.0,3.0,gar nicht wichtig,wichtig,gar nicht wichtig,wichtig,wichtig,wichtig,egal,sehr wichtig,egal,gar nicht wichtig,sehr wichtig,egal,egal,-,Sonstige;,mehr sozialer Kontakt,5.0,5.0,Onlineunterricht ist besser,HTL Spengergasse
34,16,2021-03-11 08:11:40,2021-03-11 08:14:43,HTL,16-17,11,männlich,5.0,5.0,5.0,1.0,5.0,gar nicht wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,gar nicht wichtig,egal,sehr wichtig,gar nicht wichtig,egal,egal,egal,egal,,,,1.0,5.0,,HTL Spengergasse
35,17,2021-03-14 23:40:42,2021-03-15 00:00:30,HTL,16-17,11,männlich,3.0,5.0,5.0,2.0,4.0,wichtig,egal,sehr wichtig,sehr wichtig,wichtig,nicht wichtig,wichtig,sehr wichtig,egal,wichtig,nicht wichtig,wichtig,wichtig,"1.) Lehrer, vor allem der jeweilige Klassenvorstand erkundigen sich nach dem Wohlbefinden der Klasse.
2.) Bei Problemen von konkreten Aufgabenstellungen bespricht der Fachlehrer die Aufgabe im Onlineunterricht mit     den Schülern.",direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Sonstige;,Soziale Interaktionen mit Freunden und anderen Personen,5.0,4.0,,HTL Spengergasse
36,1,2021-03-10 12:19:30,2021-03-10 12:25:26,Fachschule,14-15,10,männlich,5.0,5.0,5.0,1.0,4.0,sehr wichtig,sehr wichtig,sehr wichtig,wichtig,sehr wichtig,wichtig,sehr wichtig,sehr wichtig,egal,nicht wichtig,sehr wichtig,egal,egal,,,,5.0,5.0,,HTL Spengergasse
37,2,2021-03-10 12:44:33,2021-03-10 12:48:45,Fachschule,16-17,11,männlich,3.0,3.0,4.0,4.0,5.0,wichtig,sehr wichtig,wichtig,wichtig,wichtig,wichtig,egal,sehr wichtig,wichtig,sehr wichtig,wichtig,egal,wichtig,,Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;direktes Gespräch mit Lehrkraft möglich;,,3.0,3.0,,HTL Spengergasse
38,3,2021-03-10 13:09:42,2021-03-10 13:13:21,Fachschule,18-20,10,männlich,5.0,5.0,5.0,3.0,5.0,egal,egal,egal,sehr wichtig,wichtig,egal,sehr wichtig,wichtig,egal,wichtig,egal,wichtig,wichtig,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;,,3.0,3.0,Es ist mir beides recht gut ich finde es aber mühsam wann und wo die aufgaben sind und welche gruppe und von wem die Hü ist,HTL Spengergasse
39,4,2021-03-10 14:42:44,2021-03-10 14:49:05,Fachschule,16-17,10,männlich,4.0,5.0,5.0,3.0,3.0,sehr wichtig,wichtig,wichtig,wichtig,egal,nicht wichtig,egal,sehr wichtig,wichtig,egal,wichtig,nicht wichtig,gar nicht wichtig,"dass man den Unterricht kurz unterbricht, um einfach über ganz andere Sachen sprechen zu können.",direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,5.0,3.0,"war alles stabil/in Ordnung.
",HTL Spengergasse
40,5,2021-03-11 08:33:51,2021-03-11 08:42:34,Fachschule,16-17,10,männlich,3.0,5.0,5.0,3.0,3.0,egal,sehr wichtig,wichtig,wichtig,wichtig,egal,sehr wichtig,sehr wichtig,egal,wichtig,nicht wichtig,wichtig,wichtig,,Nachfragen einfacher;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;,,2.0,4.0,,HTL Spengergasse
41,6,2021-03-11 13:03:43,2021-03-11 13:08:39,Fachschule,16-17,12,weiblich,1.0,4.0,5.0,3.0,5.0,wichtig,wichtig,wichtig,wichtig,egal,gar nicht wichtig,wichtig,wichtig,egal,wichtig,wichtig,wichtig,wichtig,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,4.0,1.0,Ich mag Online Unterricht nicht!,HTL Spengergasse
42,7,2021-03-11 13:08:08,2021-03-11 13:14:15,Fachschule,16-17,10,männlich,3.0,5.0,3.0,2.0,4.0,egal,egal,wichtig,wichtig,egal,nicht wichtig,wichtig,sehr wichtig,nicht wichtig,nicht wichtig,nicht wichtig,wichtig,wichtig,wenn andere im Onlineunterricht plus bekommen durch eine richtige Antwort,keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;,,2.0,5.0,Ich finde Onlineunterricht angenehm.,HTL Spengergasse
43,8,2021-03-11 14:30:19,2021-03-11 14:34:24,HTL,16-17,9,weiblich,2.0,2.0,5.0,5.0,4.0,wichtig,sehr wichtig,wichtig,wichtig,wichtig,sehr wichtig,egal,sehr wichtig,egal,egal,sehr wichtig,egal,egal,,direktes Gespräch mit Lehrkraft möglich;ruhigere Arbeitsumgebung als zuhause;,,3.0,2.0,,HTL Spengergasse
44,9,2021-03-11 14:23:34,2021-03-11 14:34:28,Fachschule,16-17,12,männlich,4.0,5.0,5.0,3.0,5.0,wichtig,wichtig,wichtig,sehr wichtig,wichtig,wichtig,sehr wichtig,sehr wichtig,egal,egal,egal,egal,egal,"Am besten wäre weniger Hausaufgaben zu bekommen, weil in der Schule bekommen wir deutlich weniger als Online und dass stört mich halt.",direktes Gespräch mit Lehrkraft möglich;Nachfragen einfacher;,,3.0,5.0,"Zuhause ist es viel besser weil man die Zeit sich besser einteilen kann, und man hat auch mehr Teamarbeit durch Discord und so.",HTL Spengergasse
